Date,Price,Open,High,Low,Vol.,Change %
Dec-21,4766.18,4623.80,4808.52,4494.20,-,0.0436
Nov-21,4567.00,4616.47,4743.74,4560.26,-,-0.0083
Oct-21,4605.38,4324.71,4608.70,4278.70,-,0.0691
Sep-21,4307.54,4531.04,4544.58,4304.90,-,-0.0476
Aug-21,4522.68,4415.90,4537.80,4369.20,-,0.0290
Jul-21,4395.26,4304.10,4430.20,4232.80,-,0.0227
Jun-21,4297.50,4216.52,4302.43,4164.40,-,0.0222
May-21,4204.11,4191.98,4238.04,4056.88,-,0.0055
Apr-21,4181.17,3992.78,4218.78,3992.78,-,0.0524
Mar-21,3972.89,3842.51,3994.41,3723.34,-,0.0424
Feb-21,3811.15,3731.17,3950.43,3725.62,-,0.0261
Jan-21,3714.24,3764.61,3870.90,3662.71,-,-0.0111
Dec-20,3756.07,3645.87,3760.20,3633.40,-,0.0371
Nov-20,3621.63,3296.20,3645.99,3279.74,-,0.1075
Oct-20,3269.96,3385.87,3549.85,3233.94,-,-0.0277
Sep-20,3363.00,3507.44,3588.11,3209.45,-,-0.0392
Aug-20,3500.31,3288.26,3514.77,3284.53,-,0.0701
Jul-20,3271.12,3105.92,3279.99,3101.17,-,0.0551
Jun-20,3100.29,3038.78,3233.13,2965.66,-,0.0184
May-20,3044.31,2869.09,3068.67,2766.64,-,0.0453
Apr-20,2912.43,2498.08,2954.86,2447.49,-,0.1268
Mar-20,2584.59,2974.28,3136.72,2191.86,-,-0.1251
Feb-20,2954.22,3235.66,3393.52,2855.84,-,-0.0841
Jan-20,3225.52,3244.67,3337.77,3214.64,-,-0.0016
Dec-19,3230.78,3143.85,3247.93,3070.33,-,0.0286
Nov-19,3140.98,3050.72,3154.26,3050.72,-,0.0340
Oct-19,3037.56,2983.69,3050.10,2855.94,-,0.0204
Sep-19,2976.74,2909.01,3021.99,2891.85,-,0.0172
Aug-19,2926.46,2980.32,3013.59,2822.12,-,-0.0181
Jul-19,2980.38,2971.41,3027.98,2952.22,-,0.0131
Jun-19,2941.76,2751.53,2964.15,2728.81,-,0.0689
May-19,2752.06,2952.33,2954.13,2750.52,-,-0.0658
Apr-19,2945.83,2848.63,2949.52,2848.63,-,0.0393
Mar-19,2834.40,2798.22,2860.31,2722.27,-,0.0179
Feb-19,2784.49,2702.32,2813.49,2681.83,-,0.0297
Jan-19,2704.10,2476.96,2708.95,2443.96,-,0.0787
Dec-18,2506.85,2790.50,2800.18,2346.58,-,-0.0918
Nov-18,2760.17,2717.58,2815.15,2631.09,-,0.0179
Oct-18,2711.74,2926.29,2939.86,2603.54,-,-0.0694
Sep-18,2913.98,2896.96,2940.91,2864.12,-,0.0043
Aug-18,2901.52,2821.17,2916.50,2796.34,-,0.0303
Jul-18,2816.29,2704.95,2848.03,2698.95,-,0.0360
Jun-18,2718.37,2718.70,2791.47,2691.99,-,0.0048
May-18,2705.27,2643.64,2742.24,2594.62,-,0.0216
Apr-18,2648.05,2633.45,2717.49,2553.80,-,0.0027
Mar-18,2640.87,2715.22,2801.90,2585.89,-,-0.0269
Feb-18,2713.83,2816.45,2835.96,2532.69,-,-0.0389
Jan-18,2823.81,2683.73,2872.87,2682.36,-,0.0562
Dec-17,2673.61,2645.10,2694.97,2605.52,-,0.0098
Nov-17,2647.58,2583.21,2657.74,2557.45,-,0.0281
Oct-17,2575.26,2521.20,2582.98,2520.40,-,0.0222
Sep-17,2519.36,2474.42,2519.44,2446.55,-,0.0193
Aug-17,2471.65,2477.10,2490.87,2417.35,-,0.0005
